Alloy Designation,Mg (wt%),Zn(wt%),Al(wt%),Ca(wt%),Sr(wt%),Zr(wt%),Li(wt%),Y(wt%),,Holding Temperature,Holding Time,,Working Type,Working Temperature,% Deformation,,Matrix Phase,Matrix Grain Size,% Matrix Phase,Precipitate Phase,Precipitate Size,% Precipitate,,Hardness  (HV) ,Elastic modulus  (GPa) ,YS  (MPa) ,UTS  (MPa) ,%Elongation,,Rs (Ω),Rp (Ω),Icorr (μA/cm^2),Ecorr (V),CR (mm/y) ,Solution Name,Reference,Data Entered by
Mg-4Zn-0.5Zr,,4,,,,0.5,,,,,,,,,,,,,,,,,,,64,96,176,4,,,,,,,,,
Mg-4Zn-0.5Zr,,4,,,,0.5,,,,,,,,,,,,,,,,,,,68,92,134,3,,,,,,,,,
Mg-3Zn-0.6Zr,,3,,,,0.6,,,,,,,,,,,,,,,,,,,,215,300,9,,,,,,,,,
Mg-6Zn-0.6Zr,,6,,,,0.6,,,,,,,,,,,,,,,,,,,,235,315,8,,,,,,,,,
Mg-6Zn-0.5Zr,,6,,,,0.5,,,,,,,,,,,,,,,,,,,,227,266,15.8,,,,,,,,,
Mg-6Zn-0.5Zr,,6,,,,0.5,,,,,,,,,,,,,,,,,,,,269,315,12.3,,,,,,,,,
Mg-5.16Zn-0.57Zr,,5.16,,,,0.57,,,,,,,,,,,,,,,,,,,,187.8,270.5,20.4,,,,,,,,,
Mg-11Gd-1Zn,,1,,,,,,,,,,,,,,,,,,,,,,,,159,196,3,,,,,,,,,
Mg-11Gd-1Zn,,1,,,,,,,,,,,,,,,,,,,,,,,,191,33,9,,,,,,,,,
Mg-1.92Zn-0.08Gd,,1.92,,,,,,,,,,,,,,,,2,,,,,,,,291,343,11.4,,,,,,,,,
Mg-2.70Zn-0.47Gd,,2.7,,,,,,,,,,,,,,,,4,,,,,,,,228,320,15.8,,,,,,,,,
Mg-1.92Zn-0.08Gd,,1.92,,,,,,,,,,,,,,,,1,,,,,,,,410,434,14.6,,,,,,,,,
Mg-2.70Zn-0.47Gd,,2.7,,,,,,,,,,,,,,,,1,,,,,,,,417,444,13.1,,,,,,,,,
Mg-2Zn-0.2Mn,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,1,,
Mg-2Zn-0.2Mn,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,0.1,2,,
Mg-6Zn-1Mn,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,0.01,2,,
Mg-4Zn-0.5Zr,,4,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,37.19,,0.84,3,,
Mg-4Zn-0.5Zr,,4,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,38.07,,0.86,3,,
Mg-1Zn-3Gd,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,2,,
Mg-3Zn-3Gd,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,2,,
Mg-6Zn-1Mn-4Sn,,6,,,,,,,,,,,,,,,,,,,,,,82,,378,390,4.16,,,,,,,,,
Mg-6Zn-0.5Ca-1Y,,6,,,,,,1,,,,,,,,,,,,,,,,,,166,284,14.7,,,,,,,,,
Mg-6Zn-0.2Ca-0.8Zr,,6,,,,,,,,,,,,,,,,,,,,,,,,310,357,18,,,,,,,,,
